,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
106,Acquired Company,1,0 Immediate,,371,1 CorpEra,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 3 steps.,#REF!
107,Media Archives,1,0 Immediate,,372,1 CorpEra,,,cards in ANY event pile,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ for each event EVER PLAYED by all players.,#REF!
109,Media Group,1,4 Effect/Trigger,,373,1 CorpEra,play event card,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play an event card, gain 3 M€.",#REF!
110,Business Network,2,0 Immediate,,374,1 CorpEra,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step.,#REF!
110,Business Network,2,2 Action,,375,1 CorpEra,,,,,,,,,,,,,,,,,,,1,buy or discard,,,,,,,,,,0,,,,,0,,,,,,,,Look at the top card and either buy it or discard it.,#REF!
111,Business Contacts,1,0 Immediate,,376,1 CorpEra,,,,,,,,,,,,,,,,,,,2,of 4,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 of 4 cards.,#REF!
112,Bribed Committee,1,0 Immediate,,377,1 CorpEra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,2,,,,,,,,Raise your TR 2 steps.,#REF!
121,Sabotage,3,1 Immediate/Attack,A,378,1 CorpEra,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 3 titanium from any player.,#REF!
121,Sabotage,3,1 Immediate/Attack,B,379,1 CorpEra,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 4 steel from any player.,#REF!
121,Sabotage,3,1 Immediate/Attack,C,380,1 CorpEra,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 7 M€ from any player.,#REF!
123,Industrial Center,2,0 Immediate,,381,1 CorpEra,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,touching any city,1,,,,,0,,,,,,,,Place this tile ADJACENT TO ANY CITY TILE.,#REF!
123,Industrial Center,2,2 Action,,382,1 CorpEra,,,,,,1,,,,,,-7,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 7 M€ to increase your steel production 1 step.,#REF!
124,Hired Raiders,2,1 Immediate/Attack,A,383,1 CorpEra,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,gain the removed resources directly,,Steal up to 2 steel from any player.,#REF!
124,Hired Raiders,2,1 Immediate/Attack,B,384,1 CorpEra,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,gain the removed resources directly,,Steal up to 3 M€ from any player.,#REF!
125,Hackers,2,0 Immediate,,385,1 CorpEra,,,,,2,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step. Increase your M€ production 2 steps.,#REF!
125,Hackers,2,1 Immediate/Attack,,386,1 CorpEra,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's M€ production 2 steps.,#REF!
137,Cartel,1,0 Immediate,,387,1 CorpEra,,,Earth tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step for each Earth tag you have, including this.",#REF!
144,Titanium Mine,1,0 Immediate,,388,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step.,#REF!
149,CEO's Favorite Project,1,0 Immediate,,389,1 CorpEra,,,,,,,,,,,,,,,,,,,,,1,any,nonempty,,,,,,,0,,,,,0,,,,,,,,ADD 1 RESOURCE TO A CARD WITH AT LEAST 1 RESOURCE ON IT,#REF!
150,Anti-Gravity Technology,1,5 Effect/Discount,,390,1 CorpEra,play card,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less.,#REF!
151,Investment Loan,1,0 Immediate,,391,1 CorpEra,,,,,-1,,,,,,,10,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step. Gain 10 M€.,#REF!
154,Caretaker Contract,1,2 Action,,392,1 CorpEra,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Spend 8 heat to increase your TR 1 step.,#REF!
156,Standard Technology,1,4 Effect/Trigger,,393,1 CorpEra,standard project,except selling patents,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"After you pay for a standard project, except selling patents, you gain 3 M€.",#REF!
160,Power Supply Consortium,2,0 Immediate,,394,1 CorpEra,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
160,Power Supply Consortium,2,1 Immediate/Attack,,395,1 CorpEra,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's energy production 1 step.,#REF!
173,Protected Habitats,1,8 Effect/Ambient,,396,1 CorpEra,ambient,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,opponents can't remove P/M/A,,"Opponents may not remove your plants, microbes, or animals.",#REF!
175,Satellites,1,0 Immediate,,397,1 CorpEra,,,space tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step for each space tag you have, including this.",#REF!
180,Fuel Factory,1,0 Immediate,,398,1 CorpEra,,,,,1,,1,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your titanium and your M€ production 1 step each.,#REF!
182,Corporate Stronghold,1,0 Immediate,,399,1 CorpEra,,,,,3,,,,-1,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your M€ production 3 steps. Place a city tile.,#REF!
185,Olympus Conference,2,4 Effect/Trigger,A,400,1 CorpEra,science tag,,,←,,,,,,,,,,,,,,,,,1,science,here,,,,,,,0,,,,,0,,,,,,,,"When you play a science tag, add a science resource to this card.",#REF!
185,Olympus Conference,2,4 Effect/Trigger,B,401,1 CorpEra,science tag,,,←,,,,,,,,,,,,,,,1,,-1,science,here,,,,,,,0,,,,,0,,,,,,,,"When you play a science tag, remove 1 science resource from this card to draw a card.",#REF!
186,Rad-Suits,1,0 Immediate,,402,1 CorpEra,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step.,#REF!
192,Invention Contest,1,0 Immediate,,403,1 CorpEra,,,,,,,,,,,,,,,,,,,1,of 3,,,,,,,,,,0,,,,,0,,,,,,,,Draw 1 of 3 cards.,#REF!
194,Power Infrastructure,1,2 Action,,404,1 CorpEra,,,any number > 0,←,,,,,,,,N,,,,-N,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend one or more energy to gain 1 M€ each.,#REF!
195,Indentured Workers,1,7 Effect/Temporary,,405,1 CorpEra,next card this gen,,,←,,,,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"For the next card you play this generation, you may treat any global parameter requirement as if it is 2 steps lower or higher.",#REF!
196,Lagrange Observatory,1,0 Immediate,,406,1 CorpEra,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 1 card.,#REF!
197,Terraforming Ganymede,1,0 Immediate,,407,1 CorpEra,,,Jovian tags,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,N,0,,,,,,,,"Raise your TR 1 step for each Jovian tag you have, including this.",#REF!
199,Restricted Area,2,0 Immediate,,408,1 CorpEra,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,0,,,,,,,,Place this tile.,#REF!
199,Restricted Area,2,2 Action,,409,1 CorpEra,,,,,,,,,,,,-2,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 2 M€ to draw a card.,#REF!
201,Energy Tapping,2,0 Immediate,,410,1 CorpEra,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
201,Energy Tapping,2,1 Immediate/Attack,,411,1 CorpEra,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any energy production 1 step.,#REF!
204,Technology Demonstration,1,0 Immediate,,412,1 CorpEra,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
207,Medical Lab,1,0 Immediate,,413,1 CorpEra,,,sets of 2 building tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step for every 2 building tags you have, including this.",#REF!
208,AI Central,2,0 Immediate,,414,1 CorpEra,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step.,#REF!
208,AI Central,2,2 Action,,415,1 CorpEra,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
209,Small Asteroid,2,0 Immediate,,416,X1 Pro/firstset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,1,,,,,,,,Raise temperature 1 step.,#REF!
209,Small Asteroid,2,1 Immediate/Attack,,417,X1 Pro/firstset,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 2 plants from any player.,#REF!
210,Self-Replicating Robots,3,2 Action,A,418,X1 Pro/firstset,,,,,,,,,,,,,,,,,,,,,2,untyped,that card,,,,,,,0,,,,,0,,,,,,place a space or building card here from hand,,"Reveal and place a SPACE or BUILDING card here from hand, and place 2 resources on it.",#REF!
210,Self-Replicating Robots,3,2 Action,B,419,X1 Pro/firstset,,,resources already on that card,←,,,,,,,,,,,,,,,,,N,untyped,that card,,,,,,,0,,,,,0,,,,,,,,Double the resources on a card here.,#REF!
210,Self-Replicating Robots,3,6 Effect/Resource,,420,X1 Pro/firstset,play card from here,,all resources on card,←,,,,,,,,N,,,,,,,,,-N,untyped,that card,,,,,,,0,,,,,0,,,,,,,,A card here may be played as if from hand with its cost reduced by the number of resources on it (discard all the resources).,#REF!
211,Snow Algae,1,0 Immediate,,421,X1 Pro/firstset,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production and your heat production 1 step each.,#REF!
212,Penguins,1,2 Action,,422,X1 Pro/firstset,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
213,Aerial Mappers,2,2 Action,A,423,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to ANY card.,#REF!
213,Aerial Mappers,2,2 Action,B,424,4 VenusNext,,,,,,,,,,,,,,,,,,,1,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to draw a card.,#REF!
214,Aerosport Tournament,1,0 Immediate,,425,4 VenusNext,,,ANY cities,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 M€ per ANY city tile in play.,#REF!
215,Air-Scrapping Expedition,1,0 Immediate,,426,4 VenusNext,,,,,,,,,,,,,,,,,,,,,3,floater,Venus,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Add 3 floaters to ANY VENUS CARD.,#REF!
216,Atalanta Planitia Lab,1,0 Immediate,,427,4 VenusNext,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
217,Atmoscoop,2,0 Immediate,A,428,4 VenusNext,,,,,,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,2,,,,2,,,,,,,,Raise temperature 2 steps. Add 2 floaters to ANY card.,#REF!
217,Atmoscoop,2,0 Immediate,B,429,4 VenusNext,,,,,,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,,,2,,2,,,,,,,,Raise Venus 2 steps. Add 2 floaters to ANY card.,#REF!
218,Comet For Venus,2,0 Immediate,,430,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step.,#REF!
218,Comet For Venus,2,1 Immediate/Attack,,431,4 VenusNext,,target has Venus tag,,←,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 4 M€ from a player WITH A VENUS TAG IN PLAY.,#REF!
219,Corroder Suits,1,0 Immediate,,432,4 VenusNext,,,,,2,,,,,,,,,,,,,,,,1,any,Venus,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps. Add 1 resource to ANY VENUS CARD.,#REF!
220,Dawn City,1,0 Immediate,,433,4 VenusNext,,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,Decrease your energy production 1 step. Increase your titanium production 1 step. Place a city tile ON THE RESERVED AREA.,#REF!
221,Deuterium Export,2,2 Action,A,434,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to this card.,#REF!
221,Deuterium Export,2,2 Action,B,435,4 VenusNext,,,,,,,,,1,,,,,,,,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to increase your energy production 1 step.,#REF!
222,Dirigibles,2,2 Action,,436,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to ANY card.,#REF!
222,Dirigibles,2,6 Effect/Resource,,437,4 VenusNext,Venus tag(s),,any number,←,,,,,,,,3N,,,,,,,,,-N,floater,here,,,,,,,0,,,,,0,,,,,,,,"When playing a Venus tag, floaters here may be used as 3 M€ each.",#REF!
223,Extractor Balloons,3,0 Immediate,,438,4 VenusNext,,,,,,,,,,,,,,,,,,,,,3,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 3 floaters to this card.,#REF!
223,Extractor Balloons,3,2 Action,A,439,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to this card.,#REF!
223,Extractor Balloons,3,2 Action,B,440,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-2,floater,here,,,,,,,0,,,1,,1,,,,,,,,Spend 2 floaters here to raise Venus 1 step.,#REF!
224,Extremophiles,1,2 Action,,441,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,microbe,any,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to ANY card.,#REF!
225,Floating Habs,1,2 Action,,442,4 VenusNext,,,,,,,,,,,,-2,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Spend 2 M€ to add 1 floater to ANY card.,#REF!
226,Forced Precipitation,2,2 Action,A,443,4 VenusNext,,,,,,,,,,,,-2,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 2 M€ to add a floater to this card.,#REF!
226,Forced Precipitation,2,2 Action,B,444,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-2,floater,here,,,,,,,0,,,1,,1,,,,,,,,Spend 2 floaters here to increase Venus 1 step.,#REF!
227,Freyja Biodomes,2,0 Immediate,A,445,4 VenusNext,,,,,2,,,,-1,,,,,,,,,,,,2,animal,Venus,,,,,,,0,,,,,0,,,,,,,,"Add 2 microbes TO ANOTHER VENUS CARD. Decrease your energy production 1 step, and increase your M€ production 2 steps.",#REF!
227,Freyja Biodomes,2,0 Immediate,B,446,4 VenusNext,,,,,2,,,,-1,,,,,,,,,,,,2,microbe,Venus,,,,,,,0,,,,,0,,,,,,,,"Add 2 animals TO ANOTHER VENUS CARD. Decrease your energy production 1 step, and increase your M€ production 2 steps.",#REF!
228,GHG Import From Venus,1,0 Immediate,,447,4 VenusNext,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Increase your heat production 3 steps.,#REF!
229,Giant Solar Shade,1,0 Immediate,,448,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,,3,,,,,,,,Raise Venus 3 steps.,#REF!
230,Gyropolis,1,0 Immediate,,449,4 VenusNext,,,Venus + Earth tags,←,N,,,,-2,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Decrease your energy production 2 steps. Increase your M€ production 1  step for each Venus and Earth tag you have. Place a city tile.,#REF!
231,Hydrogen To Venus,1,0 Immediate,,450,4 VenusNext,,,Jovian tags,←,,,,,,,,,,,,,,,,,N,floater,Venus,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Add 1 floater to A VENUS CARD for each Jovian tag you have.,#REF!
232,Io Sulphur Research,2,0 Immediate,A,451,4 VenusNext,,max 2 Venus tags,,←,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 1 card.,#REF!
232,Io Sulphur Research,2,0 Immediate,B,452,4 VenusNext,,3 Venus tags,,←,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Requires 3 Venus tags: draw 3 cards.,#REF!
233,Ishtar Mining,1,0 Immediate,,453,4 VenusNext,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step.,#REF!
234,Jet Stream Microscrappers,2,2 Action,A,454,4 VenusNext,,,,,,,,,,,,,,-1,,,,,,,2,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 2 floaters to this card.,#REF!
234,Jet Stream Microscrappers,2,2 Action,B,455,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-2,floater,here,,,,,,,0,,,1,,1,,,,,,,,Spend 2 floaters here to raise Venus 1 step.,#REF!
235,Local Shading,2,2 Action,A,456,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,here,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to this card.,#REF!
235,Local Shading,2,2 Action,B,457,4 VenusNext,,,,,1,,,,,,,,,,,,,,,,-1,floater,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 floater here to increase your M€ production 1 step.,#REF!
236,Luna Metropolis,2,0 Immediate,,458,4 VenusNext,,,Earth tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your M€ production 1 step for each Earth tag you have, including this. Place a city tile ON THE RESERVED AREA.",#REF!
236,Luna Metropolis,2,0 Immediate,,459,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,"Increase your M€ production 1 step for each Earth tag you have, including this. Place a city tile ON THE RESERVED AREA.",#REF!
238,Maxwell Base,2,0 Immediate,,460,4 VenusNext,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,Decrease your energy production 1 step. Place a city tile ON THE RESERVED AREA.,#REF!
238,Maxwell Base,2,2 Action,,461,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,any,Venus,,,,,,,0,,,,,0,,,,,,,,Add 1 resource to ANOTHER VENUS CARD.,#REF!
239,Mining Quota,1,0 Immediate,,462,4 VenusNext,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your steel production 2 steps.,#REF!
240,Neutralizer Factory,1,0 Immediate,,463,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,Increase Venus 1 step.,#REF!
241,Omnicourt,1,0 Immediate,,464,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,2,,,,,,,,Increase your TR 2 steps.,#REF!
242,Orbital Reflectors,1,0 Immediate,,465,4 VenusNext,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,2,,2,,,,,,,,Raise Venus 2 steps. Increase your heat production 2 steps.,#REF!
243,Rotator Impacts,2,2 Action,A,466,4 VenusNext,,,,,,,,,,,,-6,,,,,,,,,1,asteroid,here,,,,,,,0,,,,,0,,,,,,may use titanium,,Spend 6 M€ (titanium may be used) to add an asteroid to this card.,#REF!
243,Rotator Impacts,2,2 Action,B,467,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-1,asteroid,here,,,,,,,0,,,1,,1,,,,,,,,Spend 1 asteroid here to increase Venus 1 step.,#REF!
244,Sister Planet Support,1,0 Immediate,,468,4 VenusNext,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 3 steps.,#REF!
245,Solarnet,1,0 Immediate,,469,4 VenusNext,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
246,Spin-Inducing Asteroid,1,0 Immediate,,470,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,2,,,,,,,,Raise Venus 2 steps.,#REF!
247,Sponsored Academies,1,0 Immediate,,471,4 VenusNext,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,"discard a card first, then all players +1 card",,Discard 1 card from hand and THEN draw 3 cards. All OPPONENTS draw 1 card.,#REF!
248,Stratopolis,2,0 Immediate,,472,4 VenusNext,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,Increase your M€ production 2 steps. Place a city tile on THE RESERVED AREA.,#REF!
248,Stratopolis,2,2 Action,,473,4 VenusNext,,,,,,,,,,,,,,,,,,,,,2,floater,Venus,,,,,,,0,,,,,0,,,,,,,,Add 2 floaters to a VENUS CARD.,#REF!
249,Stratospheric Birds,2,0 Immediate,,474,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-1,floater,any,,,,,,,0,,,,,0,,,,,,,,Remove 1 floater from any card.,#REF!
249,Stratospheric Birds,2,2 Action,,475,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
250,Sulphur Exports,1,0 Immediate,,476,4 VenusNext,,,Venus tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,"Increase Venus 1 step. Increase your M€ production 1 step for each Venus tag you have, including this.",#REF!
251,Sulphur-Eating Bacteria,2,2 Action,A,477,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
251,Sulphur-Eating Bacteria,2,2 Action,B,478,4 VenusNext,,,any number > 0,←,,,,,,,,3N,,,,,,,,,-N,microbe,here,,,,,,,0,,,,,0,,,,,,,,Spend one or more microbes here to gain 3 M€ each.,#REF!
252,Terraforming Contract,1,0 Immediate,,479,4 VenusNext,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 4 steps.,#REF!
253,Thermophiles,2,2 Action,A,480,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,microbe,Venus,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to a VENUS CARD.,#REF!
253,Thermophiles,2,2 Action,B,481,4 VenusNext,,,,,,,,,,,,,,,,,,,,,-2,microbe,here,,,,,,,0,,,1,,1,,,,,,,,Spend 2 microbes here to raise Venus 1 step.,#REF!
254,Water To Venus,1,0 Immediate,,482,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step.,#REF!
255,Venus Governor,1,0 Immediate,,483,4 VenusNext,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps.,#REF!
256,Venus Magnetizer,1,2 Action,,484,4 VenusNext,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,1,,1,,,,,,,,Decrease your energy production 1 step to raise Venus 1 step.,#REF!
257,Venus Soils,1,0 Immediate,,485,4 VenusNext,,,,,,,,1,,,,,,,,,,,,,2,microbe,any,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Increase your plant production 1 step. Add 2 microbes to ANOTHER card.,#REF!
258,Venus Waystation,1,5 Effect/Discount,,486,4 VenusNext,Venus tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per Venus tag it has.,#REF!
259,Venusian Animals,1,4 Effect/Trigger,,487,4 VenusNext,science tag,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When you play a science tag, add 1 animal to this card.",#REF!
260,Venusian Insects,1,2 Action,,488,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
261,Venusian Plants,2,0 Immediate,A,489,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,animal,Venus,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Add 1 microbe to ANOTHER VENUS CARD.,#REF!
261,Venusian Plants,2,0 Immediate,B,490,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,microbe,Venus,,,,,,,0,,,1,,1,,,,,,,,Raise Venus 1 step. Add 1 animal to ANOTHER VENUS CARD.,#REF!
P36,House Printing,1,0 Immediate,,491,5 Prelude,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your steel production 1 step.,#REF!
P37,Lava Tube Settlement,1,0 Immediate,,492,5 Prelude,,,,,2,,,,-1,,,,,,,,,,,,,,,,1,,,,(if any) volcanic area and can break rules,1,,,,,0,,,,,,,,"Decrease your energy production 1 step. Increase your M€ production 2 steps. Place a city tile ON A VOLCANIC AREA, same as Lava Flows, regardless of adjacent cities.",#REF!
P38,Martian Survey,1,0 Immediate,,493,5 Prelude,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards.,#REF!
P39,Psychrophiles,2,2 Action,,494,5 Prelude,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add a microbe to this card.,#REF!
P39,Psychrophiles,2,6 Effect/Resource,,495,5 Prelude,plant tag(s),,any number,←,,,,,,,,2N,,,,,,,,,-N,microbe,here,,,,,,,0,,,,,0,,,,,,,,"When playing a plant tag, microbes here may be used as 2 M€ each.",#REF!
P41,SF Memorial,1,0 Immediate,,496,5 Prelude,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Draw 1 card.,#REF!
P42,Space Hotels,1,0 Immediate,,497,5 Prelude,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 4 steps.,#REF!
C01,Airliners,1,0 Immediate,,498,6 Colonies,,,,,2,,,,,,,,,,,,,,,,2,floater,any,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps. Add 2 floaters to ANOTHER card.,#REF!
C02,Air Raid,2,0 Immediate,,499,6 Colonies,,,,,,,,,,,,,,,,,,,,,-1,floater,any,,,,,,,0,,,,,0,,,,,,,,Remove 1 floater from any card.,#REF!
C02,Air Raid,2,1 Immediate/Attack,,500,6 Colonies,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,gain the removed resources directly,,Steal up to 5 M€ from any player.,#REF!
